xpoints,ypoints,xaep1,xaep100,yaep1,yaep100
-1671.8,-1671.8,468.1085890163475,460.1986710271978,467.3825931581833,459.55732893782346
-1670.8,-1670.8,468.09127988239044,460.1864360436909,467.3860363940859,459.5594877314955
-1669.8,-1669.8,468.0735629689956,460.17395841162977,467.38982512483744,459.56167088747833
-1668.8,-1668.8,468.0553710358974,460.1612802180391,467.3941917177202,459.56390011188597
-1667.8,-1667.8,468.0367972117947,460.1484079914346,467.3992397643558,459.5661859707944
-1666.8,-1666.8,468.01786847506605,460.13534401818174,467.40499841895905,459.56852547097765
-1665.8,-1665.8,467.9985974710951,460.1220818731876,467.411437980292,459.57092229849053
-1664.8,-1664.8,467.97897539399867,460.10862392654457,467.4190717491935,459.5740854478008
-1663.8,-1663.8,467.9589758955193,460.0949549837202,467.4293000936647,459.57981009193975
-1662.8,-1662.8,467.9385816736613,460.08109489828286,467.4405685777143,459.5855805254615
-1661.8,-1661.8,467.91785149152327,460.0670559881291,467.4528147316459,459.5912980029567
-1660.8,-1660.8,467.8966919804986,460.0528123566135,467.4656327521746,459.597213732067
-1659.8,-1659.8,467.8751734898113,460.03839909057444,467.47908240853087,459.60346236856515
-1658.8,-1658.8,467.8533184114492,460.0237913381512,467.49318912640456,459.610373912109
-1657.8,-1657.8,467.8311168367948,460.00901369963896,467.5079889916137,459.6183871324536
-1656.8,-1656.8,467.80851223458683,459.9940872380433,467.52384197029875,459.62729550395704
-1655.8,-1655.8,467.7855708593929,459.97901707108724,467.5418819063708,459.6365493811598
-1654.8,-1654.8,467.7622285089516,459.9638075894411,467.56149480552693,459.6457970595167
-1653.8,-1653.8,467.73849752969574,459.948464971246,467.58168373456044,459.65501118170744
-1652.8,-1652.8,467.7141906147322,459.93296856070754,467.60210246551725,459.6642059084868
-1651.8,-1651.8,467.6894928331673,459.9173674970639,467.6226194124282,459.6733395386808
-1650.8,-1650.8,467.6645425044016,459.90168477197227,467.64319609833825,459.6822061936886
-1649.8,-1649.8,467.6393497202693,459.88593959558085,467.66379964265724,459.6909489535827
-1648.8,-1648.8,467.61389058785124,459.8701407449668,467.6844122802827,459.69962995903165
-1647.8,-1647.8,467.58818490757125,459.8542741786305,467.70449327918476,459.70822581311177
-1646.8,-1646.8,467.5622173055625,459.83829096835615,467.7244643912704,459.7171335564285
-1645.8,-1645.8,467.536011663253,459.8221944963216,467.7442350440779,459.7259380939916
-1644.8,-1644.8,467.5095155110396,459.8060027718638,467.76379882442603,459.7346342239837
-1643.8,-1643.8,467.4826030147105,459.78974248034433,467.7832095033567,459.743216750126
-1642.8,-1642.8,467.45551138542106,459.77343015634517,467.80242526870563,459.7516651560028
-1641.8,-1641.8,467.4282555524864,459.7570639058672,467.82146358353293,459.75995531214426
-1640.8,-1640.8,467.40086762788445,459.7406461417719,467.8402931389495,459.7680793403205
-1639.8,-1639.8,467.3733681562854,459.7241923920684,467.8588550188684,459.7760667753125
-1638.8,-1638.8,467.3457619899798,459.70771444125603,467.8771593603989,459.78391398937595
-1637.8,-1637.8,467.3180416011957,459.6912162887394,467.89510754934463,459.79159051102863
-1636.8,-1636.8,467.29025681514025,459.67469679910465,467.91262072489053,459.79912230394314
-1635.8,-1635.8,467.2624089339045,459.6581693821382,467.929847808081,459.8065150872063
-1634.8,-1634.8,467.23454410737673,459.6416210597397,467.9465768831878,459.8137518835173
-1633.8,-1633.8,467.20665345953114,459.62504682735755,467.9626215166016,459.82073457252943
-1632.8,-1632.8,467.178744518534,459.60847003244896,467.978280169079,459.82741550436316
-1631.8,-1631.8,467.15085753806915,459.5918946596415,467.9935240412754,459.8339023684401
-1630.8,-1630.8,467.12301386454726,459.5753261877444,468.00830969218333,459.84017719801983
-1629.8,-1629.8,467.0950812011962,459.5587203117974,468.0225971248684,459.8462361171909
-1628.8,-1628.8,467.06711516387486,459.542027760435,468.036431897894,459.8520458933732
-1627.8,-1627.8,467.0392210567537,459.52535867382386,468.0497886032397,459.85742083748323
-1626.8,-1626.8,467.0113219550868,459.50871451324883,468.0626105520167,459.86249266784347
-1625.8,-1625.8,466.98343979029005,459.4920958249707,468.0749395790658,459.86731521545784
-1624.8,-1624.8,466.9557565275667,459.47548853161913,468.08675266827345,459.87190022435146
-1623.8,-1623.8,466.9281335602936,459.4588687450953,468.0980421888989,459.87624056517825
-1622.8,-1622.8,466.90069031047676,459.4422369662098,468.1087783994163,459.8803205214555
